Day,"Date",Total
1,"1/22/20",0
2,"1/23/20",0
3,"1/24/20",0
4,"1/25/20",0
5,"1/26/20",0
6,"1/27/20",0
7,"1/28/20",0
8,"1/29/20",0
9,"1/30/20",0
10,"1/31/20",0
11,"2/1/20",0
12,"2/2/20",0
13,"2/3/20",0
14,"2/4/20",0
15,"2/5/20",0
16,"2/6/20",0
17,"2/7/20",0
18,"2/8/20",0
19,"2/9/20",0
20,"2/10/20",0
21,"2/11/20",0
22,"2/12/20",0
23,"2/13/20",0
24,"2/14/20",0
25,"2/15/20",0
26,"2/16/20",0
27,"2/17/20",0
28,"2/18/20",0
29,"2/19/20",0
30,"2/20/20",0
31,"2/21/20",0
32,"2/22/20",0
33,"2/23/20",0
34,"2/24/20",0
35,"2/25/20",0
36,"2/26/20",0
37,"2/27/20",0
38,"2/28/20",0
39,"2/29/20",0
40,"3/1/20",0
41,"3/2/20",0
42,"3/3/20",0
43,"3/4/20",0
44,"3/5/20",0
45,"3/6/20",0
46,"3/7/20",0
47,"3/8/20",0
48,"3/9/20",0
49,"3/10/20",0
50,"3/11/20",0
51,"3/12/20",1
52,"3/13/20",1
53,"3/14/20",1
54,"3/15/20",1
55,"3/16/20",1
56,"3/17/20",1
57,"3/18/20",2
58,"3/19/20",2
59,"3/20/20",3
60,"3/21/20",6
61,"3/22/20",12
62,"3/23/20",18
63,"3/24/20",31
64,"3/25/20",51
65,"3/26/20",71
66,"3/27/20",107
67,"3/28/20",130
68,"3/29/20",157
69,"3/30/20",213
70,"3/31/20",292
71,"4/1/20",369
72,"4/2/20",452
73,"4/3/20",517
74,"4/4/20",584
75,"4/5/20",674
76,"4/6/20",792
77,"4/7/20",916
78,"4/8/20",1036
79,"4/9/20",1163
80,"4/10/20",1370
81,"4/11/20",1486
82,"4/12/20",1591
83,"4/13/20",1723
84,"4/14/20",1897
85,"4/15/20",2054
86,"4/16/20",2134
87,"4/17/20",2373
88,"4/18/20",2458
89,"4/19/20",2549
90,"4/20/20",2635
91,"4/21/20",2744
92,"4/22/20",2986
93,"4/23/20",3157
94,"4/24/20",3266
95,"4/25/20",3338
96,"4/26/20",3504
97,"4/27/20",3597
98,"4/28/20",3765
99,"4/29/20",3869
100,"4/30/20",3990
101,"5/1/20",4069
102,"5/2/20",4224
103,"5/3/20",4258
104,"5/4/20",4345
105,"5/5/20",4391
106,"5/6/20",4465
107,"5/7/20",4556
108,"5/8/20",4614
109,"5/9/20",4757
110,"5/10/20",4783
111,"5/11/20",4812
112,"5/12/20",4904
113,"5/13/20",4945
114,"5/14/20",5019
115,"5/15/20",5058
116,"5/16/20",5114
117,"5/17/20",5124
118,"5/18/20",5148
119,"5/19/20",5250
120,"5/20/20",5296
121,"5/21/20",5366
122,"5/22/20",5395
123,"5/23/20",5460
124,"5/24/20",5466
125,"5/25/20",5479
126,"5/26/20",5506
127,"5/27/20",5574
128,"5/28/20",5612
129,"5/29/20",5646
130,"5/30/20",5704
131,"5/31/20",5731
132,"6/1/20",5758
133,"6/2/20",5795
134,"6/3/20",5813
135,"6/4/20",5839
136,"6/5/20",5909
137,"6/6/20",5916
138,"6/7/20",5927
139,"6/8/20",5942
140,"6/9/20",5951
141,"6/10/20",5952
142,"6/11/20",5985
143,"6/12/20",5990
144,"6/13/20",6013
145,"6/14/20",6016
146,"6/15/20",6018
147,"6/16/20",6034
148,"6/17/20",6036
149,"6/18/20",6061
150,"6/19/20",6067
151,"6/20/20",6087
152,"6/21/20",6090
153,"6/22/20",6097
154,"6/23/20",6109
155,"6/24/20",6114
156,"6/25/20",6133
157,"6/26/20",6134
158,"6/27/20",6153
159,"6/28/20",6157
160,"6/29/20",6161
161,"6/30/20",6193
162,"7/1/20",6198
163,"7/2/20",6212
164,"7/3/20",6215
165,"7/4/20",6218
166,"7/5/20",6218
167,"7/6/20",6221
168,"7/7/20",6251
169,"7/8/20",6262
170,"7/9/20",6271
171,"7/10/20",6285
172,"7/11/20",6313
173,"7/12/20",6314
174,"7/13/20",6321
175,"7/14/20",6326
176,"7/15/20",6330
177,"7/16/20",6348
178,"7/17/20",6355
179,"7/18/20",6364
180,"7/19/20",6366
181,"7/20/20",6373
182,"7/21/20",6382
183,"7/22/20",6388
184,"7/23/20",6395
185,"7/24/20",6400
186,"7/25/20",6400
187,"7/26/20",6400
188,"7/27/20",6405
189,"7/28/20",6421
190,"7/29/20",6422
191,"7/30/20",6443
192,"7/31/20",6450
193,"8/1/20",6457
194,"8/2/20",6457
195,"8/3/20",6467
196,"8/4/20",6471
197,"8/5/20",6477
198,"8/6/20",6505
199,"8/7/20",6523
200,"8/8/20",6519
201,"8/9/20",6518
202,"8/10/20",6525
203,"8/11/20",6532
204,"8/12/20",6538
205,"8/13/20",6554
206,"8/14/20",6565
207,"8/15/20",6585
208,"8/16/20",6591
209,"8/17/20",6591
210,"8/18/20",6607
211,"8/19/20",6617
212,"8/20/20",6634
213,"8/21/20",6634
214,"8/22/20",6655
215,"8/23/20",6659
216,"8/24/20",6663
217,"8/25/20",6684
218,"8/26/20",6690
219,"8/27/20",6706
220,"8/28/20",6712
221,"8/29/20",6712
222,"8/30/20",6748
223,"8/31/20",6753
224,"9/1/20",6767
225,"9/2/20",6781
226,"9/3/20",6791
227,"9/4/20",6798
228,"9/5/20",6806
229,"9/6/20",6806
230,"9/7/20",6810
231,"9/8/20",6811
232,"9/9/20",6886
233,"9/10/20",6891
234,"9/11/20",6897
235,"9/12/20",6909
236,"9/13/20",6909
237,"9/14/20",6919
238,"9/15/20",6930
239,"9/16/20",6941
240,"9/17/20",6953
241,"9/18/20",6952
242,"9/19/20",6967
243,"9/20/20",6967
244,"9/21/20",6979
245,"9/22/20",6995
246,"9/23/20",7010
247,"9/24/20",7017
248,"9/25/20",7025
249,"9/26/20",7042
250,"9/27/20",7042
251,"9/28/20",7049
252,"9/29/20",7070
253,"9/30/20",7081
254,"10/1/20",7100
255,"10/2/20",7108
256,"10/3/20",7122
257,"10/4/20",7122
258,"10/5/20",7137
259,"10/6/20",7159
260,"10/7/20",7167
261,"10/8/20",7191
262,"10/9/20",7198
263,"10/10/20",7217
264,"10/11/20",7217
265,"10/12/20",7223
266,"10/13/20",7253
267,"10/14/20",7266
268,"10/15/20",7300
269,"10/16/20",7315
270,"10/17/20",7338
271,"10/18/20",7338
272,"10/19/20",7361
273,"10/20/20",7381
274,"10/21/20",7416
275,"10/22/20",7462
276,"10/23/20",7481
277,"10/24/20",7519
278,"10/25/20",7519
279,"10/26/20",7549
280,"10/27/20",7582
281,"10/28/20",7603
282,"10/29/20",7650
283,"10/30/20",7662
284,"10/31/20",7696
285,"11/1/20",7696
286,"11/2/20",7713
287,"11/3/20",7757
288,"11/4/20",7778
289,"11/5/20",7829
290,"11/6/20",7876
291,"11/7/20",7941
292,"11/8/20",7941
293,"11/9/20",8004
294,"11/10/20",8090
295,"11/11/20",8132
296,"11/12/20",8181
297,"11/13/20",8304
298,"11/14/20",8372
299,"11/15/20",8372
300,"11/16/20",8426
301,"11/17/20",8506
302,"11/18/20",8568
303,"11/19/20",8712
304,"11/20/20",8769
305,"11/21/20",8869
306,"11/22/20",8869
307,"11/23/20",8934
308,"11/24/20",9088
309,"11/25/20",9164
310,"11/26/20",9164
311,"11/27/20",9351
312,"11/28/20",9461
313,"11/29/20",9461
314,"11/30/20",9558
315,"12/1/20",9753
316,"12/2/20",9835
317,"12/3/20",10028
318,"12/4/20",10110
319,"12/5/20",10313
320,"12/6/20",10313
321,"12/7/20",10412
322,"12/8/20",10616
323,"12/9/20",10697
324,"12/10/20",10891
325,"12/11/20",10956
326,"12/12/20",11186
327,"12/13/20",11186
328,"12/14/20",11280
329,"12/15/20",11487
330,"12/16/20",11580
331,"12/17/20",11793
332,"12/18/20",11860
333,"12/19/20",12065
334,"12/20/20",12065
335,"12/21/20",12144
336,"12/22/20",12332
337,"12/23/20",12405
338,"12/24/20",12405
339,"12/25/20",12405
340,"12/26/20",12680
341,"12/27/20",12680
342,"12/28/20",12744
343,"12/29/20",12956
344,"12/30/20",13008
345,"12/31/20",13008
346,"1/1/21",13008
347,"1/2/21",13296
348,"1/3/21",13296
349,"1/4/21",13381
350,"1/5/21",13598
351,"1/6/21",13657
352,"1/7/21",13863
353,"1/8/21",13903
354,"1/9/21",14134
355,"1/10/21",14134
356,"1/11/21",14181
357,"1/12/21",14285
358,"1/13/21",14325
359,"1/14/21",14500
360,"1/15/21",14539
361,"1/16/21",14658
362,"1/17/21",14658
363,"1/18/21",14675
364,"1/19/21",14691
365,"1/20/21",14759
366,"1/21/21",14922
367,"1/22/21",14940
368,"1/23/21",15170
369,"1/24/21",15170
370,"1/25/21",15208
371,"1/26/21",15294
372,"1/27/21",15303
373,"1/28/21",15391
374,"1/29/21",15399
375,"1/30/21",15514
376,"1/31/21",15514
377,"2/1/21",15525
378,"2/2/21",15598
379,"2/3/21",15632
380,"2/4/21",15713
381,"2/5/21",15738
382,"2/6/21",15842
383,"2/7/21",15842
384,"2/8/21",15851
385,"2/9/21",15913
386,"2/10/21",15927
387,"2/11/21",16007
388,"2/12/21",16016
389,"2/13/21",16108
390,"2/14/21",16108
